t,px,py,pz,ex,ey,ez,err
0.00,0.028,-0.203,0.028,-0.828,-1.857,0.978,2.117
0.02,0.028,-0.203,0.028,-0.834,-1.867,0.978,2.128
0.04,0.028,-0.203,0.028,-0.834,-1.867,0.978,2.128
0.07,0.028,-0.203,0.028,-0.853,-1.886,0.978,2.150
0.09,0.028,-0.203,0.028,-0.853,-1.886,0.978,2.150
0.11,0.028,-0.202,0.028,-0.860,-1.896,0.978,2.161
0.13,0.028,-0.202,0.028,-0.860,-1.896,0.978,2.161
0.15,0.028,-0.202,0.027,-0.867,-1.906,0.978,2.171
0.17,0.028,-0.202,0.027,-0.867,-1.906,0.978,2.171
0.19,0.028,-0.202,0.026,-0.894,-1.945,0.978,2.213
0.21,0.028,-0.202,0.026,-0.894,-1.945,0.978,2.213
0.23,0.028,-0.201,0.025,-0.922,-1.981,0.978,2.254
0.25,0.028,-0.201,0.025,-0.922,-1.981,0.978,2.254
0.27,0.028,-0.201,0.024,-0.952,-2.016,0.979,2.294
0.29,0.028,-0.201,0.024,-0.952,-2.016,0.979,2.294
0.32,0.028,-0.201,0.023,-1.014,-2.064,0.983,2.360
0.34,0.028,-0.201,0.023,-1.014,-2.064,0.983,2.360
0.36,0.029,-0.201,0.022,-1.046,-2.094,0.984,2.398
0.38,0.029,-0.201,0.022,-1.046,-2.094,0.984,2.398
0.40,0.029,-0.200,0.021,-1.080,-2.122,0.985,2.436
0.42,0.029,-0.200,0.021,-1.080,-2.122,0.985,2.436
0.44,0.029,-0.200,0.020,-1.114,-2.147,0.987,2.472
0.46,0.029,-0.200,0.020,-1.114,-2.147,0.987,2.472
0.48,0.030,-0.200,0.019,-1.150,-2.171,0.989,2.508
0.50,0.030,-0.200,0.019,-1.150,-2.171,0.989,2.508
0.52,0.030,-0.201,0.019,-1.187,-2.191,0.991,2.542
0.54,0.030,-0.201,0.019,-1.187,-2.191,0.991,2.542
0.57,0.030,-0.201,0.019,-1.187,-2.191,0.991,2.542
0.59,0.031,-0.201,0.018,-1.253,-2.222,0.997,2.601
0.61,0.031,-0.201,0.018,-1.253,-2.222,0.997,2.601
0.63,0.032,-0.200,0.018,-1.293,-2.236,1.001,2.634
0.65,0.032,-0.200,0.018,-1.293,-2.236,1.001,2.634
0.67,0.034,-0.200,0.018,-1.334,-2.247,1.005,2.666
0.69,0.034,-0.200,0.018,-1.334,-2.247,1.005,2.666
0.71,0.035,-0.200,0.018,-1.376,-2.256,1.010,2.697
0.73,0.035,-0.200,0.018,-1.376,-2.256,1.010,2.697
0.75,0.036,-0.199,0.019,-1.419,-2.262,1.016,2.728
0.77,0.036,-0.199,0.019,-1.419,-2.262,1.016,2.728
0.79,0.037,-0.199,0.019,-1.473,-2.267,1.023,2.766
0.81,0.037,-0.199,0.019,-1.473,-2.267,1.023,2.766
0.84,0.039,-0.198,0.020,-1.518,-2.268,1.030,2.795
0.86,0.039,-0.198,0.020,-1.518,-2.268,1.030,2.795
0.88,0.040,-0.198,0.020,-1.564,-2.267,1.037,2.824
0.90,0.040,-0.198,0.020,-1.564,-2.267,1.037,2.824
0.92,0.041,-0.198,0.020,-1.611,-2.264,1.045,2.852
0.94,0.041,-0.198,0.020,-1.611,-2.264,1.045,2.852
0.96,0.042,-0.198,0.020,-1.658,-2.258,1.054,2.879
0.98,0.042,-0.198,0.020,-1.658,-2.258,1.054,2.879
1.00,0.043,-0.199,0.021,-1.706,-2.250,1.063,2.906
1.02,0.043,-0.199,0.021,-1.706,-2.250,1.063,2.906
1.04,0.044,-0.200,0.021,-1.768,-2.238,1.075,2.939
1.06,0.044,-0.200,0.021,-1.768,-2.238,1.075,2.939
1.09,0.044,-0.200,0.021,-1.768,-2.238,1.075,2.939
1.11,0.045,-0.201,0.021,-1.842,-2.218,1.090,2.978
1.13,0.045,-0.201,0.021,-1.842,-2.218,1.090,2.978
1.15,0.046,-0.202,0.021,-1.893,-2.203,1.101,3.003
1.17,0.046,-0.202,0.021,-1.893,-2.203,1.101,3.003
1.19,0.046,-0.203,0.021,-1.944,-2.186,1.112,3.029
1.21,0.046,-0.203,0.021,-1.944,-2.186,1.112,3.029
1.23,0.046,-0.204,0.021,-1.995,-2.167,1.124,3.054
1.25,0.046,-0.204,0.021,-1.995,-2.167,1.124,3.054
1.27,0.047,-0.205,0.022,-2.047,-2.146,1.136,3.080
1.29,0.047,-0.205,0.022,-2.047,-2.146,1.136,3.080
1.31,0.047,-0.206,0.022,-2.098,-2.123,1.149,3.106
1.33,0.047,-0.206,0.022,-2.098,-2.123,1.149,3.106
1.35,0.047,-0.207,0.022,-2.148,-2.100,1.161,3.130
1.38,0.047,-0.207,0.022,-2.148,-2.100,1.161,3.130
1.40,0.047,-0.209,0.023,-2.200,-2.074,1.175,3.156
1.42,0.047,-0.209,0.023,-2.200,-2.074,1.175,3.156
1.44,0.047,-0.210,0.023,-2.253,-2.047,1.188,3.183
1.46,0.047,-0.210,0.023,-2.253,-2.047,1.188,3.183
1.48,0.047,-0.210,0.023,-2.305,-2.019,1.201,3.210
1.50,0.047,-0.210,0.023,-2.305,-2.019,1.201,3.210
1.52,0.047,-0.211,0.023,-2.358,-1.990,1.215,3.238
1.54,0.047,-0.211,0.023,-2.358,-1.990,1.215,3.238
1.56,0.047,-0.211,0.023,-2.358,-1.990,1.215,3.238
1.58,0.047,-0.211,0.024,-2.439,-1.945,1.234,3.282
1.60,0.047,-0.211,0.024,-2.439,-1.945,1.234,3.282
1.63,0.047,-0.211,0.024,-2.507,-1.907,1.250,3.320
1.65,0.047,-0.211,0.024,-2.507,-1.907,1.250,3.320
1.67,0.047,-0.211,0.025,-2.562,-1.875,1.262,3.351
1.69,0.047,-0.211,0.025,-2.562,-1.875,1.262,3.351
1.71,0.047,-0.211,0.026,-2.617,-1.844,1.274,3.384
1.73,0.047,-0.211,0.026,-2.617,-1.844,1.274,3.384
1.75,0.047,-0.211,0.027,-2.673,-1.812,1.285,3.418
1.77,0.047,-0.211,0.027,-2.673,-1.812,1.285,3.418
1.79,0.046,-0.210,0.028,-2.729,-1.780,1.296,3.453
1.81,0.046,-0.210,0.028,-2.729,-1.780,1.296,3.453
1.83,0.046,-0.210,0.029,-2.786,-1.748,1.306,3.488
1.85,0.046,-0.210,0.029,-2.786,-1.748,1.306,3.488
1.87,0.046,-0.209,0.030,-2.858,-1.707,1.318,3.535
1.90,0.046,-0.209,0.030,-2.858,-1.707,1.318,3.535
1.92,0.046,-0.208,0.032,-2.916,-1.675,1.326,3.573
1.94,0.046,-0.208,0.032,-2.916,-1.675,1.326,3.573
1.96,0.046,-0.208,0.033,-2.975,-1.643,1.334,3.613
1.98,0.046,-0.208,0.033,-2.975,-1.643,1.334,3.613
2.00,0.046,-0.207,0.034,-3.034,-1.611,1.341,3.653
2.02,0.046,-0.207,0.034,-3.034,-1.611,1.341,3.653
2.04,0.046,-0.206,0.035,-3.093,-1.579,1.348,3.694
2.06,0.046,-0.206,0.035,-3.093,-1.579,1.348,3.694
2.08,0.046,-0.206,0.035,-3.093,-1.579,1.348,3.694
2.10,0.046,-0.206,0.036,-3.183,-1.531,1.357,3.758
2.12,0.046,-0.206,0.036,-3.183,-1.531,1.357,3.758
2.15,0.045,-0.205,0.037,-3.259,-1.492,1.363,3.812
2.17,0.045,-0.205,0.037,-3.259,-1.492,1.363,3.812
2.19,0.045,-0.205,0.038,-3.320,-1.460,1.368,3.857
2.21,0.045,-0.205,0.038,-3.320,-1.460,1.368,3.857
2.23,0.044,-0.204,0.039,-3.381,-1.429,1.371,3.902
2.25,0.044,-0.204,0.039,-3.381,-1.429,1.371,3.902
2.27,0.043,-0.204,0.040,-3.443,-1.398,1.375,3.947
2.29,0.043,-0.204,0.040,-3.443,-1.398,1.375,3.947
2.31,0.043,-0.203,0.041,-3.505,-1.367,1.378,3.994
2.33,0.043,-0.203,0.041,-3.505,-1.367,1.378,3.994
2.35,0.042,-0.203,0.041,-3.549,-1.345,1.380,4.028
2.37,0.042,-0.203,0.041,-3.549,-1.345,1.380,4.028
2.40,0.042,-0.203,0.042,-3.611,-1.314,1.382,4.075
2.42,0.042,-0.203,0.042,-3.611,-1.314,1.382,4.075
2.44,0.041,-0.203,0.043,-3.674,-1.284,1.384,4.123
2.46,0.041,-0.203,0.043,-3.674,-1.284,1.384,4.123
2.48,0.040,-0.204,0.043,-3.736,-1.254,1.386,4.172
2.50,0.040,-0.204,0.043,-3.736,-1.254,1.386,4.172
2.52,0.040,-0.204,0.044,-3.768,-1.239,1.387,4.197
2.54,0.040,-0.204,0.044,-3.768,-1.239,1.387,4.197
2.56,0.040,-0.204,0.044,-3.768,-1.239,1.387,4.197
2.58,0.039,-0.205,0.044,-3.831,-1.209,1.388,4.247
2.60,0.039,-0.205,0.044,-3.831,-1.209,1.388,4.247
2.62,0.038,-0.206,0.043,-3.902,-1.176,1.389,4.303
2.64,0.038,-0.206,0.043,-3.902,-1.176,1.389,4.303
2.67,0.035,-0.206,0.043,-3.964,-1.147,1.390,4.351
2.69,0.035,-0.206,0.043,-3.964,-1.147,1.390,4.351
2.71,0.032,-0.206,0.041,-4.027,-1.118,1.390,4.399
2.73,0.032,-0.206,0.041,-4.027,-1.118,1.390,4.399
2.75,0.025,-0.207,0.038,-4.092,-1.089,1.390,4.446
2.77,0.025,-0.207,0.038,-4.092,-1.089,1.390,4.446
2.79,0.018,-0.207,0.036,-4.158,-1.059,1.390,4.494
2.81,0.018,-0.207,0.036,-4.158,-1.059,1.390,4.494
2.83,0.008,-0.207,0.032,-4.227,-1.029,1.389,4.542
2.85,0.008,-0.207,0.032,-4.227,-1.029,1.389,4.542
2.87,-0.003,-0.208,0.029,-4.298,-0.998,1.388,4.591
2.89,-0.003,-0.208,0.029,-4.298,-0.998,1.388,4.591
2.91,-0.016,-0.208,0.025,-4.390,-0.959,1.386,4.657
2.94,-0.016,-0.208,0.025,-4.390,-0.959,1.386,4.657
2.96,-0.035,-0.208,0.020,-4.465,-0.928,1.384,4.703
2.98,-0.035,-0.208,0.020,-4.465,-0.928,1.384,4.703
3.00,-0.057,-0.208,0.017,-4.542,-0.898,1.382,4.748
3.02,-0.057,-0.208,0.017,-4.542,-0.898,1.382,4.748
3.04,-0.075,-0.208,0.015,-4.620,-0.869,1.379,4.800
3.06,-0.075,-0.208,0.015,-4.620,-0.869,1.379,4.800
3.08,-0.075,-0.208,0.015,-4.620,-0.869,1.379,4.800
3.10,-0.120,-0.209,0.014,-4.739,-0.828,1.374,4.863
3.12,-0.120,-0.209,0.014,-4.739,-0.828,1.374,4.863
3.14,-0.155,-0.210,0.014,-4.819,-0.805,1.370,4.901
3.16,-0.155,-0.210,0.014,-4.819,-0.805,1.370,4.901
3.18,-0.198,-0.211,0.014,-4.919,-0.779,1.366,4.951
3.20,-0.198,-0.211,0.014,-4.919,-0.779,1.366,4.951
3.23,-0.248,-0.213,0.013,-5.000,-0.763,1.361,4.977
3.25,-0.248,-0.213,0.013,-5.000,-0.763,1.361,4.977
3.27,-0.305,-0.215,0.011,-5.080,-0.751,1.357,4.995
3.29,-0.305,-0.215,0.011,-5.080,-0.751,1.357,4.995
3.31,-0.385,-0.218,0.007,-5.160,-0.744,1.352,4.993
3.33,-0.385,-0.218,0.007,-5.160,-0.744,1.352,4.993
3.35,-0.458,-0.221,0.002,-5.239,-0.742,1.347,4.995
3.37,-0.458,-0.221,0.002,-5.239,-0.742,1.347,4.995
3.39,-0.538,-0.225,-0.003,-5.318,-0.744,1.342,4.991
3.41,-0.538,-0.225,-0.003,-5.318,-0.744,1.342,4.991
3.43,-0.624,-0.231,-0.011,-5.415,-0.756,1.336,4.998
3.45,-0.624,-0.231,-0.011,-5.415,-0.756,1.336,4.998
3.47,-0.715,-0.238,-0.018,-5.491,-0.771,1.330,4.981
3.50,-0.715,-0.238,-0.018,-5.491,-0.771,1.330,4.981
3.52,-0.852,-0.251,-0.031,-5.566,-0.791,1.325,4.918
3.54,-0.852,-0.251,-0.031,-5.566,-0.791,1.325,4.918
3.56,-0.934,-0.260,-0.038,-5.639,-0.816,1.320,4.908
3.58,-0.934,-0.260,-0.038,-5.639,-0.816,1.320,4.908
3.60,-0.934,-0.260,-0.038,-5.639,-0.816,1.320,4.908
3.62,-1.107,-0.283,-0.055,-5.700,-0.836,1.315,4.795
