t,px,py,pz,ex,ey,ez,err
0.00,-0.009,0.023,0.021,3.009,0.681,0.333,3.109
0.02,-0.009,0.023,0.021,3.011,0.681,0.333,3.111
0.04,-0.009,0.023,0.021,3.011,0.681,0.333,3.111
0.06,-0.009,0.024,0.021,3.012,0.680,0.333,3.111
0.08,-0.009,0.024,0.021,3.012,0.680,0.333,3.111
0.11,-0.009,0.024,0.021,3.012,0.680,0.333,3.111
0.13,-0.009,0.024,0.021,3.012,0.680,0.333,3.111
0.15,-0.009,0.025,0.021,3.013,0.680,0.332,3.112
0.17,-0.009,0.025,0.021,3.013,0.680,0.332,3.112
0.19,-0.009,0.027,0.022,3.013,0.680,0.332,3.112
0.21,-0.009,0.027,0.022,3.013,0.680,0.332,3.112
0.23,-0.009,0.028,0.022,3.014,0.679,0.332,3.113
0.25,-0.009,0.028,0.022,3.014,0.679,0.332,3.113
0.27,-0.009,0.029,0.022,3.014,0.679,0.332,3.113
0.29,-0.009,0.029,0.022,3.014,0.679,0.332,3.113
0.31,-0.009,0.030,0.022,3.014,0.679,0.332,3.113
0.33,-0.009,0.030,0.022,3.014,0.679,0.332,3.113
0.36,-0.009,0.031,0.022,3.017,0.678,0.332,3.115
0.38,-0.009,0.031,0.022,3.017,0.678,0.332,3.115
0.40,-0.010,0.032,0.023,3.018,0.678,0.331,3.116
0.42,-0.010,0.032,0.023,3.018,0.678,0.331,3.116
0.44,-0.010,0.033,0.023,3.020,0.677,0.331,3.118
0.46,-0.010,0.033,0.023,3.020,0.677,0.331,3.118
0.48,-0.011,0.033,0.023,3.050,0.666,0.325,3.145
0.50,-0.011,0.033,0.023,3.050,0.666,0.325,3.145
0.52,-0.011,0.034,0.024,3.092,0.652,0.319,3.182
0.54,-0.011,0.034,0.024,3.092,0.652,0.319,3.182
0.56,-0.011,0.034,0.024,3.092,0.652,0.319,3.182
0.58,-0.011,0.034,0.025,3.128,0.639,0.313,3.214
0.60,-0.011,0.034,0.025,3.128,0.639,0.313,3.214
0.62,-0.010,0.034,0.025,3.168,0.626,0.307,3.250
0.65,-0.010,0.034,0.025,3.168,0.626,0.307,3.250
0.67,-0.010,0.034,0.026,3.204,0.615,0.301,3.283
0.69,-0.010,0.034,0.026,3.204,0.615,0.301,3.283
0.71,-0.010,0.034,0.026,3.244,0.603,0.296,3.318
0.73,-0.010,0.034,0.026,3.244,0.603,0.296,3.318
0.75,-0.009,0.034,0.027,3.283,0.592,0.292,3.354
0.77,-0.009,0.034,0.027,3.283,0.592,0.292,3.354
0.79,-0.009,0.034,0.028,3.323,0.580,0.287,3.391
0.82,-0.009,0.034,0.028,3.323,0.580,0.287,3.391
0.84,-0.008,0.034,0.029,3.361,0.570,0.284,3.426
0.86,-0.008,0.034,0.029,3.361,0.570,0.284,3.426
0.88,-0.008,0.034,0.029,3.400,0.560,0.281,3.462
0.90,-0.008,0.034,0.029,3.400,0.560,0.281,3.462
0.92,-0.008,0.035,0.030,3.440,0.551,0.278,3.500
0.94,-0.008,0.035,0.030,3.440,0.551,0.278,3.500
0.96,-0.007,0.035,0.031,3.479,0.541,0.275,3.537
0.98,-0.007,0.035,0.031,3.479,0.541,0.275,3.537
1.00,-0.007,0.036,0.032,3.540,0.528,0.273,3.595
1.02,-0.007,0.036,0.032,3.540,0.528,0.273,3.595
1.05,-0.007,0.036,0.032,3.582,0.520,0.272,3.635
1.07,-0.007,0.036,0.032,3.582,0.520,0.272,3.635
1.09,-0.007,0.036,0.032,3.582,0.520,0.272,3.635
1.11,-0.007,0.037,0.034,3.622,0.512,0.271,3.673
1.13,-0.007,0.037,0.034,3.622,0.512,0.271,3.673
1.15,-0.007,0.038,0.034,3.664,0.504,0.271,3.713
1.17,-0.007,0.038,0.034,3.664,0.504,0.271,3.713
1.19,-0.007,0.038,0.035,3.706,0.496,0.271,3.754
1.21,-0.007,0.038,0.035,3.706,0.496,0.271,3.754
1.23,-0.007,0.039,0.036,3.749,0.489,0.272,3.796
1.25,-0.007,0.039,0.036,3.749,0.489,0.272,3.796
1.27,-0.008,0.039,0.037,3.788,0.483,0.273,3.834
1.30,-0.008,0.039,0.037,3.788,0.483,0.273,3.834
1.32,-0.008,0.039,0.037,3.828,0.476,0.275,3.873
1.34,-0.008,0.039,0.037,3.828,0.476,0.275,3.873
1.36,-0.008,0.040,0.038,3.871,0.470,0.277,3.915
1.38,-0.008,0.040,0.038,3.871,0.470,0.277,3.915
1.40,-0.008,0.040,0.038,3.913,0.464,0.279,3.957
1.42,-0.008,0.040,0.038,3.913,0.464,0.279,3.957
1.44,-0.009,0.040,0.039,3.954,0.458,0.282,3.998
1.46,-0.009,0.040,0.039,3.954,0.458,0.282,3.998
1.48,-0.009,0.040,0.040,3.997,0.452,0.285,4.041
1.50,-0.009,0.040,0.040,3.997,0.452,0.285,4.041
1.52,-0.009,0.040,0.040,4.058,0.444,0.291,4.101
1.55,-0.009,0.040,0.040,4.058,0.444,0.291,4.101
1.57,-0.009,0.040,0.040,4.058,0.444,0.291,4.101
1.59,-0.009,0.040,0.041,4.098,0.438,0.295,4.141
1.61,-0.009,0.040,0.041,4.098,0.438,0.295,4.141
1.63,-0.009,0.039,0.042,4.139,0.433,0.300,4.181
1.65,-0.009,0.039,0.042,4.139,0.433,0.300,4.181
1.67,-0.009,0.039,0.042,4.180,0.427,0.305,4.222
1.69,-0.009,0.039,0.042,4.180,0.427,0.305,4.222
1.71,-0.009,0.039,0.043,4.222,0.422,0.310,4.263
1.73,-0.009,0.039,0.043,4.222,0.422,0.310,4.263
1.75,-0.009,0.039,0.043,4.265,0.416,0.316,4.306
1.77,-0.009,0.039,0.043,4.265,0.416,0.316,4.306
1.80,-0.010,0.039,0.044,4.305,0.411,0.322,4.346
1.82,-0.010,0.039,0.044,4.305,0.411,0.322,4.346
1.84,-0.010,0.039,0.044,4.347,0.405,0.328,4.388
1.86,-0.010,0.039,0.044,4.347,0.405,0.328,4.388
1.88,-0.011,0.039,0.045,4.388,0.400,0.334,4.429
1.90,-0.011,0.039,0.045,4.388,0.400,0.334,4.429
1.92,-0.011,0.039,0.046,4.430,0.393,0.341,4.472
1.94,-0.011,0.039,0.046,4.430,0.393,0.341,4.472
1.96,-0.012,0.038,0.046,4.472,0.387,0.348,4.515
1.98,-0.012,0.038,0.046,4.472,0.387,0.348,4.515
2.00,-0.012,0.038,0.047,4.531,0.378,0.359,4.574
2.02,-0.012,0.038,0.047,4.531,0.378,0.359,4.574
2.05,-0.013,0.037,0.048,4.573,0.372,0.367,4.617
2.07,-0.013,0.037,0.048,4.573,0.372,0.367,4.617
2.09,-0.013,0.037,0.048,4.573,0.372,0.367,4.617
2.11,-0.014,0.037,0.049,4.612,0.365,0.374,4.657
2.13,-0.014,0.037,0.049,4.612,0.365,0.374,4.657
2.15,-0.014,0.036,0.050,4.653,0.359,0.382,4.699
2.17,-0.014,0.036,0.050,4.653,0.359,0.382,4.699
2.19,-0.015,0.036,0.051,4.694,0.352,0.391,4.740
2.21,-0.015,0.036,0.051,4.694,0.352,0.391,4.740
2.23,-0.016,0.036,0.052,4.735,0.344,0.399,4.782
2.25,-0.016,0.036,0.052,4.735,0.344,0.399,4.782
2.27,-0.017,0.035,0.053,4.774,0.337,0.408,4.823
2.29,-0.017,0.035,0.053,4.774,0.337,0.408,4.823
2.32,-0.018,0.035,0.054,4.815,0.329,0.416,4.865
2.34,-0.018,0.035,0.054,4.815,0.329,0.416,4.865
2.36,-0.019,0.034,0.055,4.854,0.322,0.425,4.905
2.38,-0.019,0.034,0.055,4.854,0.322,0.425,4.905
2.40,-0.020,0.034,0.056,4.895,0.314,0.434,4.948
2.42,-0.020,0.034,0.056,4.895,0.314,0.434,4.948
2.44,-0.021,0.033,0.056,4.933,0.306,0.443,4.987
2.46,-0.021,0.033,0.056,4.933,0.306,0.443,4.987
2.48,-0.022,0.032,0.056,4.974,0.297,0.452,5.029
2.50,-0.022,0.032,0.056,4.974,0.297,0.452,5.029
2.52,-0.023,0.031,0.056,5.032,0.285,0.466,5.088
2.54,-0.023,0.031,0.056,5.032,0.285,0.466,5.088
2.56,-0.023,0.031,0.056,5.032,0.285,0.466,5.088
2.59,-0.024,0.030,0.056,5.072,0.276,0.476,5.130
2.61,-0.024,0.030,0.056,5.072,0.276,0.476,5.130
2.63,-0.025,0.030,0.056,5.111,0.267,0.485,5.170
2.65,-0.025,0.030,0.056,5.111,0.267,0.485,5.170
2.67,-0.026,0.029,0.055,5.150,0.258,0.494,5.210
2.69,-0.026,0.029,0.055,5.150,0.258,0.494,5.210
2.71,-0.027,0.029,0.055,5.189,0.249,0.504,5.251
2.73,-0.027,0.029,0.055,5.189,0.249,0.504,5.251
2.75,-0.029,0.029,0.055,5.229,0.240,0.514,5.293
2.77,-0.029,0.029,0.055,5.229,0.240,0.514,5.293
