t,px,py,pz,ex,ey,ez,err
0.00,-0.033,0.002,-0.020,10.705,0.001,1.416,10.829
0.02,-0.033,0.002,-0.020,10.701,0.001,1.416,10.825
0.04,-0.033,0.002,-0.020,10.701,0.001,1.416,10.825
0.06,-0.033,0.002,-0.020,10.657,0.001,1.417,10.781
0.08,-0.033,0.002,-0.020,10.657,0.001,1.417,10.781
0.11,-0.033,0.002,-0.020,10.593,0.001,1.418,10.717
0.13,-0.033,0.002,-0.020,10.593,0.001,1.418,10.717
0.15,-0.033,0.001,-0.020,10.533,0.001,1.419,10.658
0.17,-0.033,0.001,-0.020,10.533,0.001,1.419,10.658
0.19,-0.033,0.001,-0.019,10.467,0.001,1.420,10.592
0.21,-0.033,0.001,-0.019,10.467,0.001,1.420,10.592
0.23,-0.032,0.000,-0.019,10.406,0.001,1.421,10.532
0.25,-0.032,0.000,-0.019,10.406,0.001,1.421,10.532
0.27,-0.032,-0.000,-0.018,10.341,0.001,1.422,10.468
0.29,-0.032,-0.000,-0.018,10.341,0.001,1.422,10.468
0.31,-0.031,-0.001,-0.018,10.281,0.001,1.423,10.407
0.33,-0.031,-0.001,-0.018,10.281,0.001,1.423,10.407
0.36,-0.031,-0.001,-0.017,10.218,0.001,1.424,10.344
0.38,-0.031,-0.001,-0.017,10.218,0.001,1.424,10.344
0.40,-0.030,-0.002,-0.016,10.156,0.001,1.425,10.283
0.42,-0.030,-0.002,-0.016,10.156,0.001,1.425,10.283
0.44,-0.029,-0.002,-0.016,10.091,0.001,1.425,10.218
0.46,-0.029,-0.002,-0.016,10.091,0.001,1.425,10.218
0.48,-0.028,-0.003,-0.015,10.032,0.001,1.426,10.159
0.50,-0.028,-0.003,-0.015,10.032,0.001,1.426,10.159
0.52,-0.028,-0.003,-0.015,9.967,0.001,1.427,10.094
0.54,-0.028,-0.003,-0.015,9.967,0.001,1.427,10.094
0.56,-0.028,-0.003,-0.015,9.967,0.001,1.427,10.094
0.58,-0.026,-0.004,-0.014,9.875,0.001,1.427,10.002
0.61,-0.026,-0.004,-0.014,9.875,0.001,1.427,10.002
0.63,-0.025,-0.004,-0.013,9.817,0.001,1.427,9.944
0.65,-0.025,-0.004,-0.013,9.817,0.001,1.427,9.944
0.67,-0.024,-0.005,-0.013,9.755,0.001,1.428,9.881
0.69,-0.024,-0.005,-0.013,9.755,0.001,1.428,9.881
0.71,-0.024,-0.005,-0.013,9.698,0.001,1.428,9.824
0.73,-0.024,-0.005,-0.013,9.698,0.001,1.428,9.824
0.75,-0.023,-0.005,-0.013,9.638,0.001,1.428,9.764
0.77,-0.023,-0.005,-0.013,9.638,0.001,1.428,9.764
0.79,-0.022,-0.005,-0.013,9.582,0.001,1.428,9.708
0.81,-0.022,-0.005,-0.013,9.582,0.001,1.428,9.708
0.83,-0.021,-0.005,-0.013,9.523,0.001,1.428,9.649
0.86,-0.021,-0.005,-0.013,9.523,0.001,1.428,9.649
0.88,-0.021,-0.005,-0.013,9.468,0.001,1.428,9.594
0.90,-0.021,-0.005,-0.013,9.468,0.001,1.428,9.594
0.92,-0.020,-0.005,-0.013,9.408,0.001,1.428,9.534
0.94,-0.020,-0.005,-0.013,9.408,0.001,1.428,9.534
0.96,-0.020,-0.005,-0.014,9.353,0.001,1.428,9.479
0.98,-0.020,-0.005,-0.014,9.353,0.001,1.428,9.479
1.00,-0.020,-0.005,-0.014,9.298,0.001,1.428,9.424
1.02,-0.020,-0.005,-0.014,9.298,0.001,1.428,9.424
1.04,-0.019,-0.005,-0.014,9.239,0.001,1.427,9.365
1.06,-0.019,-0.005,-0.014,9.239,0.001,1.427,9.365
1.08,-0.019,-0.005,-0.014,9.239,0.001,1.427,9.365
1.11,-0.019,-0.005,-0.015,9.152,0.001,1.427,9.280
1.13,-0.019,-0.005,-0.015,9.152,0.001,1.427,9.280
1.15,-0.020,-0.005,-0.015,9.096,0.001,1.427,9.224
