t,px,py,pz,ex,ey,ez,err
0.00,-11.825,-0.017,-0.005,1.930,-9.910,0.263,16.944
0.02,-11.825,-0.018,-0.004,1.930,-9.910,0.263,16.944
0.04,-11.825,-0.018,-0.004,1.930,-9.910,0.263,16.944
0.06,-11.825,-0.018,-0.004,1.954,-9.886,0.266,16.950
0.08,-11.825,-0.018,-0.004,1.954,-9.886,0.266,16.950
0.11,-11.825,-0.018,-0.004,1.984,-9.857,0.269,16.958
0.13,-11.825,-0.018,-0.004,1.984,-9.857,0.269,16.958
0.15,-11.825,-0.018,-0.004,2.013,-9.828,0.273,16.965
0.17,-11.825,-0.018,-0.004,2.013,-9.828,0.273,16.965
0.19,-11.826,-0.018,-0.004,2.042,-9.799,0.276,16.972
0.21,-11.826,-0.018,-0.004,2.042,-9.799,0.276,16.972
0.23,-11.826,-0.018,-0.004,2.072,-9.770,0.280,16.980
0.25,-11.826,-0.018,-0.004,2.072,-9.770,0.280,16.980
0.27,-11.826,-0.018,-0.004,2.102,-9.740,0.284,16.988
0.29,-11.826,-0.018,-0.004,2.102,-9.740,0.284,16.988
0.31,-11.827,-0.018,-0.005,2.131,-9.711,0.287,16.996
0.34,-11.827,-0.018,-0.005,2.131,-9.711,0.287,16.996
0.36,-11.827,-0.017,-0.005,2.162,-9.681,0.291,17.004
0.38,-11.827,-0.017,-0.005,2.162,-9.681,0.291,17.004
0.40,-11.826,-0.017,-0.005,2.191,-9.652,0.295,17.012
0.42,-11.826,-0.017,-0.005,2.191,-9.652,0.295,17.012
0.44,-11.826,-0.016,-0.005,2.220,-9.624,0.298,17.020
0.46,-11.826,-0.016,-0.005,2.220,-9.624,0.298,17.020
0.48,-11.826,-0.016,-0.005,2.250,-9.595,0.302,17.028
0.50,-11.826,-0.016,-0.005,2.250,-9.595,0.302,17.028
0.52,-11.825,-0.015,-0.006,2.278,-9.567,0.305,17.036
0.54,-11.825,-0.015,-0.006,2.278,-9.567,0.305,17.036
0.56,-11.825,-0.015,-0.006,2.278,-9.567,0.305,17.036
0.58,-11.825,-0.014,-0.006,2.323,-9.522,0.311,17.049
0.61,-11.825,-0.014,-0.006,2.323,-9.522,0.311,17.049
0.63,-11.824,-0.013,-0.006,2.354,-9.492,0.314,17.057
0.65,-11.824,-0.013,-0.006,2.354,-9.492,0.314,17.057
0.67,-11.823,-0.012,-0.006,2.383,-9.463,0.318,17.066
0.69,-11.823,-0.012,-0.006,2.383,-9.463,0.318,17.066
0.71,-11.823,-0.011,-0.006,2.413,-9.434,0.322,17.074
0.73,-11.823,-0.011,-0.006,2.413,-9.434,0.322,17.074
0.75,-11.822,-0.010,-0.006,2.441,-9.406,0.325,17.083
0.77,-11.822,-0.010,-0.006,2.441,-9.406,0.325,17.083
0.79,-11.822,-0.010,-0.006,2.472,-9.376,0.329,17.092
0.81,-11.822,-0.010,-0.006,2.472,-9.376,0.329,17.092
0.84,-11.821,-0.009,-0.006,2.500,-9.348,0.332,17.100
0.86,-11.821,-0.009,-0.006,2.500,-9.348,0.332,17.100
