t,px,py,pz,ex,ey,ez,err
0.00,0.033,-0.012,-0.042,5.411,0.000,0.704,5.418
0.02,0.033,-0.012,-0.042,5.414,0.000,0.704,5.421
0.04,0.033,-0.012,-0.042,5.414,0.000,0.704,5.421
0.06,0.033,-0.012,-0.042,5.447,0.000,0.709,5.455
0.08,0.033,-0.012,-0.042,5.447,0.000,0.709,5.455
0.11,0.033,-0.012,-0.042,5.488,0.000,0.714,5.496
0.13,0.033,-0.012,-0.042,5.488,0.000,0.714,5.496
0.15,0.033,-0.012,-0.042,5.530,0.000,0.720,5.538
0.17,0.033,-0.012,-0.042,5.530,0.000,0.720,5.538
0.19,0.033,-0.012,-0.042,5.573,0.000,0.725,5.582
0.21,0.033,-0.012,-0.042,5.573,0.000,0.725,5.582
0.23,0.034,-0.012,-0.042,5.613,0.000,0.730,5.622
0.25,0.034,-0.012,-0.042,5.613,0.000,0.730,5.622
0.27,0.034,-0.013,-0.042,5.655,0.000,0.736,5.664
0.29,0.034,-0.013,-0.042,5.655,0.000,0.736,5.664
0.31,0.034,-0.013,-0.042,5.695,0.000,0.741,5.704
0.33,0.034,-0.013,-0.042,5.695,0.000,0.741,5.704
0.36,0.034,-0.013,-0.042,5.736,0.000,0.746,5.745
0.38,0.034,-0.013,-0.042,5.736,0.000,0.746,5.745
0.40,0.035,-0.014,-0.041,5.778,0.000,0.751,5.787
0.42,0.035,-0.014,-0.041,5.778,0.000,0.751,5.787
0.44,0.035,-0.014,-0.041,5.821,0.000,0.757,5.830
0.46,0.035,-0.014,-0.041,5.821,0.000,0.757,5.830
0.48,0.036,-0.015,-0.041,5.861,0.000,0.762,5.870
0.50,0.036,-0.015,-0.041,5.861,0.000,0.762,5.870
0.52,0.036,-0.015,-0.040,5.903,0.000,0.767,5.912
0.54,0.036,-0.015,-0.040,5.903,0.000,0.767,5.912
0.56,0.036,-0.015,-0.040,5.903,0.000,0.767,5.912
0.58,0.036,-0.016,-0.039,5.963,0.000,0.774,5.972
0.60,0.036,-0.016,-0.039,5.963,0.000,0.774,5.972
0.63,0.037,-0.016,-0.039,6.006,0.000,0.779,6.015
0.65,0.037,-0.016,-0.039,6.006,0.000,0.779,6.015
0.67,0.037,-0.016,-0.039,6.045,0.000,0.784,6.054
0.69,0.037,-0.016,-0.039,6.045,0.000,0.784,6.054
0.71,0.038,-0.016,-0.038,6.089,0.000,0.789,6.097
0.73,0.038,-0.016,-0.038,6.089,0.000,0.789,6.097
0.75,0.039,-0.017,-0.038,6.128,0.000,0.794,6.136
0.77,0.039,-0.017,-0.038,6.128,0.000,0.794,6.136
0.79,0.040,-0.017,-0.038,6.170,0.000,0.799,6.177
0.81,0.040,-0.017,-0.038,6.170,0.000,0.799,6.177
0.83,0.041,-0.017,-0.039,6.211,0.000,0.803,6.217
0.85,0.041,-0.017,-0.039,6.211,0.000,0.803,6.217
0.87,0.041,-0.017,-0.039,6.252,0.000,0.808,6.258
0.90,0.041,-0.017,-0.039,6.252,0.000,0.808,6.258
0.92,0.042,-0.017,-0.040,6.293,0.000,0.813,6.299
0.94,0.042,-0.017,-0.040,6.293,0.000,0.813,6.299
0.96,0.043,-0.017,-0.040,6.337,0.000,0.818,6.342
0.98,0.043,-0.017,-0.040,6.337,0.000,0.818,6.342
1.00,0.043,-0.017,-0.041,6.376,0.000,0.823,6.381
1.02,0.043,-0.017,-0.041,6.376,0.000,0.823,6.381
1.04,0.044,-0.017,-0.041,6.418,0.000,0.827,6.422
1.06,0.044,-0.017,-0.041,6.418,0.000,0.827,6.422
1.08,0.044,-0.017,-0.041,6.418,0.000,0.827,6.422
1.10,0.045,-0.016,-0.042,6.479,0.000,0.834,6.483
1.12,0.045,-0.016,-0.042,6.479,0.000,0.834,6.483
1.14,0.045,-0.016,-0.043,6.520,0.000,0.839,6.523
1.17,0.045,-0.016,-0.043,6.520,0.000,0.839,6.523
1.19,0.046,-0.016,-0.043,6.561,0.000,0.843,6.565
1.21,0.046,-0.016,-0.043,6.561,0.000,0.843,6.565
1.23,0.046,-0.016,-0.044,6.605,0.000,0.848,6.608
1.25,0.046,-0.016,-0.044,6.605,0.000,0.848,6.608
1.27,0.046,-0.015,-0.045,6.645,0.000,0.853,6.648
1.29,0.046,-0.015,-0.045,6.645,0.000,0.853,6.648
1.31,0.046,-0.015,-0.046,6.686,0.000,0.857,6.689
1.33,0.046,-0.015,-0.046,6.686,0.000,0.857,6.689
1.35,0.047,-0.014,-0.046,6.726,0.000,0.862,6.729
1.37,0.047,-0.014,-0.046,6.726,0.000,0.862,6.729
1.39,0.047,-0.013,-0.047,6.768,0.000,0.867,6.771
1.42,0.047,-0.013,-0.047,6.768,0.000,0.867,6.771
1.44,0.047,-0.013,-0.048,6.810,0.000,0.871,6.813
1.46,0.047,-0.013,-0.048,6.810,0.000,0.871,6.813
1.48,0.047,-0.012,-0.049,6.853,0.000,0.876,6.857
1.50,0.047,-0.012,-0.049,6.853,0.000,0.876,6.857
1.52,0.047,-0.012,-0.049,6.893,0.000,0.880,6.897
1.54,0.047,-0.012,-0.049,6.893,0.000,0.880,6.897
1.56,0.047,-0.012,-0.049,6.893,0.000,0.880,6.897
1.58,0.046,-0.011,-0.050,6.955,0.000,0.887,6.959
1.60,0.046,-0.011,-0.050,6.955,0.000,0.887,6.959
