t,px,py,pz,ex,ey,ez,err
0.00,-8.005,-0.527,-0.002,1.269,6.035,1.500,11.460
0.02,-8.005,-0.527,-0.002,1.265,6.035,1.500,11.456
0.04,-8.005,-0.527,-0.002,1.265,6.035,1.500,11.456
0.07,-8.005,-0.527,-0.002,1.265,6.035,1.500,11.456
0.09,-8.005,-0.527,-0.002,1.265,6.035,1.500,11.456
0.11,-8.005,-0.527,-0.002,1.257,6.034,1.500,11.449
0.13,-8.005,-0.527,-0.002,1.257,6.034,1.500,11.449
0.15,-8.006,-0.526,-0.002,1.255,6.034,1.500,11.448
0.17,-8.006,-0.526,-0.002,1.255,6.034,1.500,11.448
0.20,-8.006,-0.526,-0.002,1.251,6.033,1.500,11.444
0.22,-8.006,-0.526,-0.002,1.251,6.033,1.500,11.444
0.24,-8.006,-0.526,-0.001,1.251,6.033,1.500,11.444
0.26,-8.006,-0.526,-0.001,1.251,6.033,1.500,11.444
0.28,-8.006,-0.525,-0.001,1.243,6.033,1.500,11.437
0.30,-8.006,-0.525,-0.001,1.243,6.033,1.500,11.437
0.32,-8.007,-0.525,-0.001,1.241,6.033,1.500,11.436
0.35,-8.007,-0.525,-0.001,1.241,6.033,1.500,11.436
0.37,-8.007,-0.524,-0.001,1.237,6.032,1.500,11.432
0.39,-8.007,-0.524,-0.001,1.237,6.032,1.500,11.432
0.41,-8.007,-0.523,-0.001,1.237,6.032,1.500,11.431
0.43,-8.007,-0.523,-0.001,1.237,6.032,1.500,11.431
0.45,-8.007,-0.523,-0.001,1.229,6.031,1.500,11.424
0.47,-8.007,-0.523,-0.001,1.229,6.031,1.500,11.424
0.50,-8.007,-0.522,-0.000,1.201,6.029,1.500,11.399
0.52,-8.007,-0.522,-0.000,1.201,6.029,1.500,11.399
0.54,-8.007,-0.521,-0.000,1.144,6.023,1.500,11.350
0.56,-8.007,-0.521,-0.000,1.144,6.023,1.500,11.350
0.58,-8.007,-0.521,-0.000,1.144,6.023,1.500,11.350
0.60,-8.006,-0.519,0.001,1.082,6.017,1.500,11.294
0.62,-8.006,-0.519,0.001,1.082,6.017,1.500,11.294
0.64,-8.006,-0.518,0.001,1.016,6.010,1.500,11.237
0.67,-8.006,-0.518,0.001,1.016,6.010,1.500,11.237
0.69,-8.005,-0.517,0.002,0.959,6.004,1.500,11.186
0.71,-8.005,-0.517,0.002,0.959,6.004,1.500,11.186
0.73,-8.005,-0.516,0.003,0.900,5.997,1.500,11.134
0.75,-8.005,-0.516,0.003,0.900,5.997,1.500,11.134
0.78,-8.004,-0.515,0.003,0.837,5.990,1.500,11.079
0.80,-8.004,-0.515,0.003,0.837,5.990,1.500,11.079
0.82,-8.003,-0.515,0.004,0.770,5.983,1.500,11.021
0.84,-8.003,-0.515,0.004,0.770,5.983,1.500,11.021
0.86,-8.002,-0.514,0.005,0.706,5.975,1.500,10.964
0.88,-8.002,-0.514,0.005,0.706,5.975,1.500,10.964
0.90,-8.002,-0.514,0.006,0.646,5.968,1.500,10.912
0.93,-8.002,-0.514,0.006,0.646,5.968,1.500,10.912
0.95,-8.001,-0.513,0.007,0.578,5.960,1.500,10.852
0.97,-8.001,-0.513,0.007,0.578,5.960,1.500,10.852
0.99,-8.000,-0.513,0.007,0.520,5.953,1.500,10.801
1.01,-8.000,-0.513,0.007,0.520,5.953,1.500,10.801
1.03,-7.999,-0.512,0.008,0.424,5.941,1.500,10.718
1.05,-7.999,-0.512,0.008,0.424,5.941,1.500,10.718
1.07,-7.999,-0.512,0.008,0.424,5.941,1.500,10.718
1.10,-7.998,-0.511,0.010,0.355,5.932,1.500,10.656
1.12,-7.998,-0.511,0.010,0.355,5.932,1.500,10.656
1.14,-7.997,-0.511,0.011,0.295,5.924,1.500,10.604
1.16,-7.997,-0.511,0.011,0.295,5.924,1.500,10.604
1.18,-7.996,-0.510,0.012,0.235,5.916,1.500,10.551
1.20,-7.996,-0.510,0.012,0.235,5.916,1.500,10.551
1.22,-7.995,-0.509,0.013,0.167,5.907,1.500,10.491
1.25,-7.995,-0.509,0.013,0.167,5.907,1.500,10.491
1.27,-7.994,-0.509,0.014,0.098,5.898,1.500,10.432
1.29,-7.994,-0.509,0.014,0.098,5.898,1.500,10.432
1.31,-7.994,-0.508,0.015,0.032,5.889,1.500,10.374
1.33,-7.994,-0.508,0.015,0.032,5.889,1.500,10.374
1.35,-7.993,-0.508,0.015,-0.038,5.879,1.500,10.314
1.37,-7.993,-0.508,0.015,-0.038,5.879,1.500,10.314
1.39,-7.993,-0.507,0.016,-0.099,5.871,1.500,10.261
1.42,-7.993,-0.507,0.016,-0.099,5.871,1.500,10.261
1.44,-7.993,-0.506,0.017,-0.160,5.862,1.500,10.208
1.46,-7.993,-0.506,0.017,-0.160,5.862,1.500,10.208
1.48,-7.993,-0.506,0.018,-0.227,5.853,1.500,10.151
1.50,-7.993,-0.506,0.018,-0.227,5.853,1.500,10.151
1.52,-7.992,-0.505,0.018,-0.327,5.839,1.500,10.065
1.54,-7.992,-0.505,0.018,-0.327,5.839,1.500,10.065
1.56,-7.992,-0.505,0.018,-0.327,5.839,1.500,10.065
1.58,-7.992,-0.503,0.020,-0.390,5.830,1.500,10.011
1.60,-7.992,-0.503,0.020,-0.390,5.830,1.500,10.011
1.63,-7.992,-0.503,0.020,-0.455,5.821,1.500,9.955
1.65,-7.992,-0.503,0.020,-0.455,5.821,1.500,9.955
1.67,-7.992,-0.502,0.021,-0.525,5.811,1.500,9.895
1.69,-7.992,-0.502,0.021,-0.525,5.811,1.500,9.895
1.71,-7.991,-0.501,0.022,-0.586,5.802,1.500,9.843
1.73,-7.991,-0.501,0.022,-0.586,5.802,1.500,9.843
1.75,-7.991,-0.499,0.022,-0.648,5.793,1.500,9.789
1.77,-7.991,-0.499,0.022,-0.648,5.793,1.500,9.789
1.79,-7.991,-0.498,0.023,-0.714,5.783,1.500,9.733
1.82,-7.991,-0.498,0.023,-0.714,5.783,1.500,9.733
1.84,-7.990,-0.497,0.024,-0.784,5.773,1.500,9.673
1.86,-7.990,-0.497,0.024,-0.784,5.773,1.500,9.673
1.88,-7.990,-0.495,0.025,-0.845,5.764,1.500,9.621
1.90,-7.990,-0.495,0.025,-0.845,5.764,1.500,9.621
1.92,-7.989,-0.494,0.026,-0.907,5.755,1.500,9.567
1.94,-7.989,-0.494,0.026,-0.907,5.755,1.500,9.567
1.96,-7.989,-0.493,0.026,-0.973,5.746,1.500,9.511
1.99,-7.989,-0.493,0.026,-0.973,5.746,1.500,9.511
2.01,-7.989,-0.492,0.027,-1.072,5.731,1.500,9.428
2.03,-7.989,-0.492,0.027,-1.072,5.731,1.500,9.428
2.05,-7.988,-0.490,0.027,-1.133,5.722,1.500,9.377
2.07,-7.988,-0.490,0.027,-1.133,5.722,1.500,9.377
2.10,-7.988,-0.490,0.027,-1.133,5.722,1.500,9.377
2.12,-7.988,-0.489,0.028,-1.194,5.714,1.500,9.326
2.14,-7.988,-0.489,0.028,-1.194,5.714,1.500,9.326
2.16,-7.988,-0.489,0.028,-1.260,5.704,1.500,9.270
2.18,-7.988,-0.489,0.028,-1.260,5.704,1.500,9.270
2.20,-7.988,-0.488,0.027,-1.329,5.694,1.500,9.213
2.22,-7.988,-0.488,0.027,-1.329,5.694,1.500,9.213
2.25,-7.988,-0.487,0.027,-1.388,5.685,1.500,9.164
2.27,-7.988,-0.487,0.027,-1.388,5.685,1.500,9.164
2.29,-7.988,-0.487,0.026,-1.447,5.676,1.500,9.116
2.31,-7.988,-0.487,0.026,-1.447,5.676,1.500,9.116
2.33,-7.989,-0.487,0.026,-1.507,5.667,1.500,9.067
2.35,-7.989,-0.487,0.026,-1.507,5.667,1.500,9.067
2.37,-7.989,-0.487,0.025,-1.569,5.658,1.500,9.016
2.40,-7.989,-0.487,0.025,-1.569,5.658,1.500,9.016
2.42,-7.990,-0.486,0.024,-1.636,5.648,1.500,8.962
2.44,-7.990,-0.486,0.024,-1.636,5.648,1.500,8.962
