t,px,py,pz,ex,ey,ez,err
0.00,-0.063,-0.002,-0.044,6.949,-0.024,0.882,7.062
0.02,-0.063,-0.002,-0.044,6.951,-0.024,0.882,7.064
0.04,-0.063,-0.002,-0.044,6.951,-0.024,0.882,7.064
0.06,-0.063,-0.002,-0.044,6.985,-0.024,0.886,7.098
0.08,-0.063,-0.002,-0.044,6.985,-0.024,0.886,7.098
0.10,-0.063,-0.002,-0.044,7.024,-0.024,0.891,7.138
0.13,-0.063,-0.002,-0.044,7.024,-0.024,0.891,7.138
0.15,-0.064,-0.002,-0.044,7.068,-0.023,0.896,7.182
0.17,-0.064,-0.002,-0.044,7.068,-0.023,0.896,7.182
0.19,-0.064,-0.002,-0.044,7.109,-0.023,0.900,7.224
0.21,-0.064,-0.002,-0.044,7.109,-0.023,0.900,7.224
0.23,-0.064,-0.002,-0.043,7.149,-0.023,0.905,7.265
0.25,-0.064,-0.002,-0.043,7.149,-0.023,0.905,7.265
0.27,-0.064,-0.002,-0.043,7.190,-0.023,0.910,7.306
0.29,-0.064,-0.002,-0.043,7.190,-0.023,0.910,7.306
0.31,-0.064,-0.002,-0.043,7.233,-0.023,0.915,7.349
0.33,-0.064,-0.002,-0.043,7.233,-0.023,0.915,7.349
0.36,-0.064,-0.001,-0.043,7.272,-0.022,0.919,7.389
0.38,-0.064,-0.001,-0.043,7.272,-0.022,0.919,7.389
0.40,-0.064,-0.001,-0.042,7.316,-0.022,0.924,7.432
0.42,-0.064,-0.001,-0.042,7.316,-0.022,0.924,7.432
0.44,-0.064,-0.001,-0.042,7.357,-0.022,0.929,7.474
0.46,-0.064,-0.001,-0.042,7.357,-0.022,0.929,7.474
0.48,-0.063,-0.000,-0.042,7.398,-0.022,0.934,7.514
0.50,-0.063,-0.000,-0.042,7.398,-0.022,0.934,7.514
0.52,-0.063,0.000,-0.042,7.438,-0.022,0.938,7.554
0.54,-0.063,0.000,-0.042,7.438,-0.022,0.938,7.554
0.56,-0.063,0.000,-0.042,7.438,-0.022,0.938,7.554
0.58,-0.061,0.001,-0.041,7.500,-0.021,0.946,7.615
0.60,-0.061,0.001,-0.041,7.500,-0.021,0.946,7.615
0.63,-0.061,0.001,-0.041,7.539,-0.021,0.950,7.654
0.65,-0.061,0.001,-0.041,7.539,-0.021,0.950,7.654
0.67,-0.060,0.002,-0.041,7.582,-0.021,0.955,7.697
0.69,-0.060,0.002,-0.041,7.582,-0.021,0.955,7.697
0.71,-0.060,0.002,-0.042,7.623,-0.021,0.960,7.738
0.73,-0.060,0.002,-0.042,7.623,-0.021,0.960,7.738
0.75,-0.059,0.002,-0.042,7.663,-0.021,0.965,7.777
0.77,-0.059,0.002,-0.042,7.663,-0.021,0.965,7.777
0.79,-0.059,0.002,-0.042,7.703,-0.020,0.970,7.817
0.81,-0.059,0.002,-0.042,7.703,-0.020,0.970,7.817
0.83,-0.058,0.002,-0.043,7.744,-0.020,0.975,7.858
0.85,-0.058,0.002,-0.043,7.744,-0.020,0.975,7.858
0.87,-0.058,0.002,-0.043,7.785,-0.020,0.980,7.899
0.90,-0.058,0.002,-0.043,7.785,-0.020,0.980,7.899
0.92,-0.058,0.002,-0.044,7.828,-0.020,0.985,7.942
0.94,-0.058,0.002,-0.044,7.828,-0.020,0.985,7.942
0.96,-0.057,0.002,-0.044,7.869,-0.020,0.990,7.983
0.98,-0.057,0.002,-0.044,7.869,-0.020,0.990,7.983
1.00,-0.057,0.003,-0.045,7.909,-0.019,0.995,8.023
1.02,-0.057,0.003,-0.045,7.909,-0.019,0.995,8.023
1.04,-0.057,0.003,-0.045,7.950,-0.019,1.000,8.063
1.06,-0.057,0.003,-0.045,7.950,-0.019,1.000,8.063
1.08,-0.057,0.003,-0.045,7.950,-0.019,1.000,8.063
1.10,-0.056,0.003,-0.046,8.012,-0.019,1.008,8.126
1.12,-0.056,0.003,-0.046,8.012,-0.019,1.008,8.126
1.15,-0.056,0.003,-0.046,8.052,-0.019,1.013,8.165
1.17,-0.056,0.003,-0.046,8.052,-0.019,1.013,8.165
1.19,-0.055,0.003,-0.047,8.095,-0.019,1.018,8.208
1.21,-0.055,0.003,-0.047,8.095,-0.019,1.018,8.208
1.23,-0.055,0.004,-0.047,8.136,-0.018,1.023,8.249
1.25,-0.055,0.004,-0.047,8.136,-0.018,1.023,8.249
1.27,-0.054,0.004,-0.047,8.178,-0.018,1.028,8.291
1.29,-0.054,0.004,-0.047,8.178,-0.018,1.028,8.291
1.31,-0.054,0.004,-0.047,8.218,-0.018,1.033,8.330
1.33,-0.054,0.004,-0.047,8.218,-0.018,1.033,8.330
1.35,-0.053,0.004,-0.048,8.261,-0.018,1.039,8.373
1.37,-0.053,0.004,-0.048,8.261,-0.018,1.039,8.373
1.40,-0.053,0.004,-0.048,8.301,-0.018,1.044,8.414
1.42,-0.053,0.004,-0.048,8.301,-0.018,1.044,8.414
1.44,-0.053,0.005,-0.048,8.346,-0.017,1.049,8.458
1.46,-0.053,0.005,-0.048,8.346,-0.017,1.049,8.458
1.48,-0.053,0.006,-0.048,8.388,-0.017,1.055,8.501
1.50,-0.053,0.006,-0.048,8.388,-0.017,1.055,8.501
1.52,-0.053,0.006,-0.049,8.429,-0.017,1.060,8.542
1.54,-0.053,0.006,-0.049,8.429,-0.017,1.060,8.542
1.56,-0.053,0.006,-0.049,8.429,-0.017,1.060,8.542
1.58,-0.053,0.007,-0.049,8.493,-0.017,1.068,8.607
1.60,-0.053,0.007,-0.049,8.493,-0.017,1.068,8.607
1.63,-0.053,0.008,-0.050,8.534,-0.017,1.073,8.648
1.65,-0.053,0.008,-0.050,8.534,-0.017,1.073,8.648
