t,px,py,pz,ex,ey,ez,err
0.00,-0.042,-0.015,-0.016,-4.759,-0.014,0.607,4.754
0.02,-0.042,-0.015,-0.016,-4.760,-0.014,0.607,4.754
0.04,-0.042,-0.015,-0.016,-4.760,-0.014,0.607,4.754
0.06,-0.042,-0.015,-0.016,-4.760,-0.014,0.607,4.755
0.08,-0.042,-0.015,-0.016,-4.760,-0.014,0.607,4.755
0.10,-0.043,-0.015,-0.016,-4.761,-0.014,0.607,4.755
0.13,-0.043,-0.015,-0.016,-4.761,-0.014,0.607,4.755
0.15,-0.043,-0.014,-0.016,-4.762,-0.014,0.607,4.756
0.17,-0.043,-0.014,-0.016,-4.762,-0.014,0.607,4.756
0.19,-0.044,-0.013,-0.017,-4.762,-0.014,0.607,4.756
0.21,-0.044,-0.013,-0.017,-4.762,-0.014,0.607,4.756
0.23,-0.044,-0.012,-0.017,-4.763,-0.014,0.607,4.756
0.25,-0.044,-0.012,-0.017,-4.763,-0.014,0.607,4.756
0.27,-0.045,-0.012,-0.018,-4.764,-0.014,0.607,4.756
0.29,-0.045,-0.012,-0.018,-4.764,-0.014,0.607,4.756
0.31,-0.045,-0.011,-0.018,-4.765,-0.014,0.607,4.756
0.33,-0.045,-0.011,-0.018,-4.765,-0.014,0.607,4.756
0.35,-0.046,-0.010,-0.019,-4.765,-0.014,0.607,4.756
0.37,-0.046,-0.010,-0.019,-4.765,-0.014,0.607,4.756
0.40,-0.046,-0.010,-0.020,-4.766,-0.014,0.608,4.757
0.42,-0.046,-0.010,-0.020,-4.766,-0.014,0.608,4.757
0.44,-0.046,-0.009,-0.020,-4.766,-0.014,0.608,4.757
0.46,-0.046,-0.009,-0.020,-4.766,-0.014,0.608,4.757
0.48,-0.046,-0.009,-0.021,-4.803,-0.014,0.613,4.793
0.50,-0.046,-0.009,-0.021,-4.803,-0.014,0.613,4.793
0.52,-0.046,-0.009,-0.022,-4.844,-0.014,0.619,4.835
0.54,-0.046,-0.009,-0.022,-4.844,-0.014,0.619,4.835
0.56,-0.046,-0.009,-0.022,-4.844,-0.014,0.619,4.835
0.58,-0.046,-0.009,-0.022,-4.885,-0.014,0.624,4.876
0.60,-0.046,-0.009,-0.022,-4.885,-0.014,0.624,4.876
0.62,-0.046,-0.009,-0.023,-4.926,-0.014,0.630,4.918
0.65,-0.046,-0.009,-0.023,-4.926,-0.014,0.630,4.918
0.67,-0.046,-0.009,-0.024,-4.968,-0.014,0.636,4.960
0.69,-0.046,-0.009,-0.024,-4.968,-0.014,0.636,4.960
0.71,-0.046,-0.010,-0.024,-5.009,-0.014,0.642,5.001
0.73,-0.046,-0.010,-0.024,-5.009,-0.014,0.642,5.001
0.75,-0.045,-0.010,-0.024,-5.050,-0.013,0.647,5.043
0.77,-0.045,-0.010,-0.024,-5.050,-0.013,0.647,5.043
0.79,-0.045,-0.010,-0.025,-5.092,-0.013,0.653,5.085
0.81,-0.045,-0.010,-0.025,-5.092,-0.013,0.653,5.085
0.83,-0.046,-0.010,-0.026,-5.132,-0.013,0.659,5.126
0.85,-0.046,-0.010,-0.026,-5.132,-0.013,0.659,5.126
0.87,-0.046,-0.010,-0.026,-5.173,-0.013,0.664,5.167
0.90,-0.046,-0.010,-0.026,-5.173,-0.013,0.664,5.167
0.92,-0.046,-0.010,-0.027,-5.216,-0.013,0.670,5.210
0.94,-0.046,-0.010,-0.027,-5.216,-0.013,0.670,5.210
0.96,-0.046,-0.010,-0.027,-5.257,-0.013,0.676,5.252
0.98,-0.046,-0.010,-0.027,-5.257,-0.013,0.676,5.252
1.00,-0.046,-0.010,-0.028,-5.319,-0.013,0.684,5.314
1.02,-0.046,-0.010,-0.028,-5.319,-0.013,0.684,5.314
1.04,-0.046,-0.010,-0.028,-5.361,-0.013,0.690,5.356
1.06,-0.046,-0.010,-0.028,-5.361,-0.013,0.690,5.356
1.08,-0.046,-0.010,-0.028,-5.361,-0.013,0.690,5.356
1.10,-0.045,-0.010,-0.029,-5.402,-0.013,0.695,5.398
1.12,-0.045,-0.010,-0.029,-5.402,-0.013,0.695,5.398
1.15,-0.045,-0.010,-0.029,-5.444,-0.013,0.701,5.441
1.17,-0.045,-0.010,-0.029,-5.444,-0.013,0.701,5.441
1.19,-0.045,-0.010,-0.029,-5.485,-0.013,0.706,5.482
1.21,-0.045,-0.010,-0.029,-5.485,-0.013,0.706,5.482
1.23,-0.044,-0.010,-0.030,-5.525,-0.013,0.711,5.524
1.25,-0.044,-0.010,-0.030,-5.525,-0.013,0.711,5.524
1.27,-0.044,-0.010,-0.030,-5.567,-0.013,0.717,5.566
1.29,-0.044,-0.010,-0.030,-5.567,-0.013,0.717,5.566
1.31,-0.043,-0.010,-0.030,-5.608,-0.012,0.722,5.608
1.33,-0.043,-0.010,-0.030,-5.608,-0.012,0.722,5.608
1.35,-0.042,-0.010,-0.031,-5.650,-0.012,0.727,5.651
1.37,-0.042,-0.010,-0.031,-5.650,-0.012,0.727,5.651
1.40,-0.042,-0.010,-0.031,-5.692,-0.012,0.733,5.694
1.42,-0.042,-0.010,-0.031,-5.692,-0.012,0.733,5.694
1.44,-0.041,-0.011,-0.031,-5.733,-0.012,0.738,5.735
1.46,-0.041,-0.011,-0.031,-5.733,-0.012,0.738,5.735
1.48,-0.040,-0.011,-0.031,-5.775,-0.012,0.743,5.778
1.50,-0.040,-0.011,-0.031,-5.775,-0.012,0.743,5.778
1.52,-0.040,-0.012,-0.031,-5.836,-0.012,0.751,5.841
1.54,-0.040,-0.012,-0.031,-5.836,-0.012,0.751,5.841
1.56,-0.040,-0.012,-0.031,-5.836,-0.012,0.751,5.841
1.58,-0.038,-0.013,-0.031,-5.878,-0.012,0.756,5.884
