run,samples,mean,p95,peak,x_min,x_max,traversed,success
stat-01,7206,0.029,0.107,0.448,-12.03,0.03,True,True
stat-02,7207,0.063,0.425,0.882,-18.08,1.24,True,True
stat-03,,,,,,,False,False
stat-04,7203,0.035,0.128,0.714,-11.95,0.03,True,True
stat-05,7207,,,,-16.73,8.96,True,True
stat-06,7208,0.05,0.282,0.674,-19.59,0.02,True,True
stat-07,7204,0.058,0.37,0.912,-11.93,0.02,True,True
stat-08,7205,0.053,0.317,0.823,-11.94,-0.02,True,True
stat-09,7205,0.044,0.22,0.846,-11.95,0.05,True,True
stat-10,7209,0.062,0.395,0.86,-13.02,0.04,True,True
